name,owner,createdAt,updatedAt,stargazers,releases,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,loc_total
BigData-Notes,heibaiying,2019-03-10T01:40:01Z,2025-03-15T16:10:43Z,16257,0,5.714285714285714,5.0,3.5125981644164272,1.2207792207792207,1.0,0.4174917781534153,0.8181818181818182,0.0,1.861855842172936,2124
Ehviewer_CN_SXJ,xiaojieonly,2020-11-09T06:14:31Z,2025-03-15T17:38:30Z,16173,99,6.872826086956522,4.0,9.74908944450326,1.708695652173913,1.0,1.2289270224597015,66.91956521739131,1.0,639.492680156463,75277
SpringBoot-Learning,dyc87112,2016-08-21T03:39:06Z,2025-03-15T05:33:54Z,15769,0,4.453531598513012,4.0,2.984205402491424,1.0260223048327135,1.0,0.1813901940175176,1.453531598513011,0.0,7.194180158497237,2790
VirtualXposed,android-hacker,2017-12-01T09:00:58Z,2025-03-15T15:51:21Z,15621,50,3.947006194081211,2.0,5.326070261755588,2.792842395044735,2.0,11.858632567217098,14.69580178940124,0.0,128.6375884522236,47736
Android-CleanArchitecture,android10,2014-08-19T14:09:26Z,2025-03-15T15:09:12Z,15532,0,5.142857142857143,4.0,4.670753051268506,1.4285714285714286,1.0,0.7051615043752371,6.723809523809524,1.0,23.217821088922555,2260
tech-interview-for-developer,gyoogle,2019-06-09T04:42:57Z,2025-03-15T18:00:02Z,15440,0,1.3076923076923077,1.0,0.7510676161988107,1.0,1.0,0.0,0.9230769230769232,0.0,3.0403272428457004,636
mockito,mockito,2012-10-13T20:27:12Z,2025-03-15T19:27:15Z,15063,219,3.471571906354515,2.0,4.533050423467212,1.402293358815098,1.0,1.085113283218686,18.39082656473961,0.0,277.811938866222,52064
questdb,questdb,2014-04-28T23:29:15Z,2025-03-15T17:39:53Z,14978,84,6.063319764812302,4.0,7.509999422751725,1.8218000904568068,1.0,1.6674420661198972,246.294587667722,1.0,4407.013203909007,544991
bytecode-viewer,Konloch,2014-10-14T10:26:46Z,2025-03-14T11:23:48Z,14897,60,4.76905311778291,3.0,6.271058100766605,2.0554272517321017,1.0,1.805771191797561,13.290993071593531,0.0,57.88840907123433,22591
flink-learning,zhisheng17,2019-01-01T07:38:28Z,2025-03-15T09:07:03Z,14690,0,4.280405405405405,3.0,4.46976166909552,1.1300675675675675,1.0,0.3655762835791767,3.300675675675676,0.0,18.48255590115002,14454
CircleImageView,hdodenhof,2014-01-17T16:44:46Z,2025-03-14T03:10:54Z,14543,0,11.0,5.0,13.07669683062202,2.333333333333333,2.0,0.5773502691896258,178.66666666666666,0.0,309.45974428563943,360
pulsar,apache,2016-06-28T07:00:03Z,2025-03-15T13:25:35Z,14495,102,6.844629244629244,4.0,10.077374827741655,1.7124047124047124,1.0,3.733502473997975,83.48537768537768,0.0,1388.0151168277184,499594
ARouter,alibaba,2016-12-14T01:27:49Z,2025-03-12T17:34:19Z,14474,16,3.693877551020408,2.0,4.91034708762366,1.4081632653061225,1.0,0.7843407461424724,17.448979591836736,0.0,83.33266119372658,3165
QMUI_Android,Tencent,2017-04-21T10:03:18Z,2025-03-14T16:29:22Z,14473,35,5.468105065666041,3.0,6.563908686973238,1.629455909943715,1.0,1.3401124906982878,35.34240150093809,0.0,197.8987981123708,58309
logstash,elastic,2010-11-18T01:31:50Z,2025-03-14T21:50:49Z,14378,174,5.517985611510792,4.0,5.981988794286298,1.6426858513189448,1.0,2.2195033089425644,21.430455635491608,1.0,101.0846368209962,39537
jd-gui,java-decompiler,2015-03-25T05:28:41Z,2025-03-15T14:20:04Z,14370,18,4.538083538083538,3.0,5.430519417672089,2.4176904176904177,1.0,2.3388940109725254,11.115479115479117,1.0,51.073297383462965,19309
Arduino,arduino,2010-09-17T19:10:36Z,2025-03-15T17:08:51Z,14277,37,4.131111111111111,2.0,6.051608861241211,1.768888888888889,1.0,1.922765063324276,32.72222222222222,0.0,208.261027095992,25793
supertokens-core,supertokens,2020-01-05T13:30:52Z,2025-03-15T12:11:12Z,13931,82,11.093096234309623,11.0,10.900824428937456,1.602510460251046,1.0,1.097810278812987,71.17573221757323,3.0,1153.2339461405286,105652
logger,orhanobut,2015-03-20T22:30:12Z,2025-03-14T03:11:42Z,13848,16,5.833333333333333,6.0,3.053445498410724,1.1666666666666667,1.0,0.3834824944236852,14.944444444444445,0.0,35.58663368080811,827
onedev,theonedev,2018-11-06T02:57:01Z,2025-03-15T19:37:48Z,13771,390,5.825554409489428,4.0,8.699992775262727,1.4160649819494584,1.0,0.8724125086236767,23.306214543579163,0.0,417.2446514077242,276723
zuul,Netflix,2013-03-13T18:53:57Z,2025-03-15T15:47:40Z,13647,15,6.406,4.0,7.584736016558629,1.594,1.0,0.9935483262293346,25.062,1.0,136.00479684750496,21581
Luban,Curzibn,2016-07-24T07:43:21Z,2025-03-15T10:48:37Z,13627,6,2.9655172413793105,1.0,4.814284983409045,1.1724137931034482,1.0,0.3844258722192448,10.862068965517242,1.0,24.928073872545266,1088
spring-analysis,seaswalker,2016-09-09T07:46:32Z,2025-03-15T15:07:18Z,13604,0,2.4242424242424243,2.0,2.646109207760318,1.2424242424242424,1.0,0.751261565231404,1.7878787878787878,0.0,3.1894119340167526,378
AndroidAutoSize,JessYanCoding,2018-08-17T09:04:19Z,2025-03-14T21:17:19Z,13583,14,5.408163265306122,4.0,4.237326040416186,1.4081632653061225,1.0,0.4965869908241479,31.285714285714285,1.0,136.3002201025369,1720
